list-none-none,1,10,1,30,74957,2498
list-none-none,1,100,1,300,128142,427
list-none-none,1,1000,1,3000,6086472,2028
list-none-none,1,10000,1,30000,969221412,32307
list-none-none,1,20000,1,60000,4397608737,73293
list-none-none,2,1,1,6,317427,52904
list-none-none,2,10,1,60,140245,2337
list-none-none,2,100,1,600,258493,430
list-none-none,2,1000,1,6000,20930826,3488
list-none-none,4,1,1,12,657630,54802
list-none-none,4,10,1,120,611702,5097
list-none-none,8,1,1,24,297347,12389
list-none-none,8,10,1,240,327871,1366
list-none-none,12,1,1,36,449015,12472
list-none-none,12,10,1,360,672163,1867
list-none-none,12,100,1,3600,1621195,450
list-i-none,2,1,1,6,158609,26434
list-i-none,4,1,1,12,155661,12971
list-i-none,8,1,1,24,1340692,55862
list-i-none,12,1,1,36,478524,13292
list-i-none,2,2,1,12,169950,14162
list-i-none,4,2,1,24,599826,24992
list-i-none,8,2,1,48,1438936,29977
list-i-none,12,2,1,72,1931142,26821
list-i-none,2,4,1,24,384370,16015
list-i-none,4,4,1,48,554581,11553
list-i-none,8,4,1,96,1402493,14609
list-i-none,12,4,1,144,2207670,15331
list-i-none,2,8,1,48,314285,6547
list-i-none,4,8,1,96,608290,6336
list-i-none,8,8,1,192,1142919,5952
list-i-none,12,8,1,288,1855973,6444
list-i-none,2,16,1,96,570254,5940
list-i-none,12,16,1,576,2265402,3932
list-i-none,8,32,1,768,1065210,1386
list-d-none,2,1,1,6,381025,63504
list-d-none,4,1,1,12,481034,40086
list-d-none,8,1,1,24,1545021,64375
list-d-none,12,1,1,36,2118373,58843
list-d-none,2,2,1,12,263062,21921
list-d-none,4,2,1,24,782594,32608
list-d-none,8,2,1,48,1541022,32104
list-d-none,12,2,1,72,2380460,33061
list-d-none,2,4,1,24,395524,16480
list-d-none,4,4,1,48,259808,5412
list-d-none,8,4,1,96,417561,4349
list-d-none,2,8,1,48,225377,4695
list-d-none,2,16,1,96,126767,1320
list-d-none,12,16,1,576,500529,868
list-il-none,2,1,1,6,129445,21574
list-il-none,4,1,1,12,173212,14434
list-il-none,8,1,1,24,319593,13316
list-il-none,12,1,1,36,513249,14256
list-il-none,2,2,1,12,132344,11028
list-il-none,4,2,1,24,737370,30723
list-il-none,12,2,1,72,2356303,32726
list-il-none,2,4,1,24,496702,20695
list-il-none,4,4,1,48,474776,9891
list-il-none,2,8,1,48,388448,8092
list-il-none,8,8,1,192,1181256,6152
list-il-none,2,16,1,96,296540,3088
list-dl-none,2,1,1,6,101568,16928
